"seconds","playerWorkingSetMiB","playerThreads","serviceWorkingSetMiB","serviceThreads"
"0","37.69921875","5","870.96875","53"
"5.15","628.30078125","133","870.96875","53"
"10.25","665.67578125","134","870.96875","53"
"15.36","673.11328125","134","870.96875","53"
"20.46","674.265625","134","870.96875","53"
"25.56","658.8515625","134","870.96875","53"
"30.65","659.5234375","133","870.96875","53"
"35.76","659.5546875","133","870.96875","53"
"40.87","660.08203125","133","870.96875","53"
"45.97","660.6015625","133","870.921875","50"
"51.09","661.03125","133","870.921875","50"
"56.2","661.87109375","133","870.921875","50"
"61.27","661.921875","130","870.921875","50"
"66.4","662.0234375","131","870.921875","50"
"71.54","662.546875","132","870.921875","50"
"76.67","662.6171875","132","870.921875","50"
"81.78","662.890625","132","870.921875","50"
"86.88","663.03515625","132","870.921875","50"
"91.99","663.03515625","132","870.921875","50"
"97.1","663.3046875","132","870.921875","50"
"102.22","663.3046875","132","870.921875","50"
"107.33","663.3046875","132","870.921875","50"
"112.42","663.3046875","132","870.921875","50"
"117.51","663.3046875","132","870.921875","50"
"122.63","663.3046875","132","870.921875","50"
"127.74","663.3046875","132","870.921875","50"
"132.83","663.3046875","132","870.921875","50"
"137.95","663.5390625","131","870.921875","50"
"143.04","663.64453125","131","870.921875","50"
"148.18","663.8125","131","870.921875","50"
"153.28","663.8125","131","870.921875","50"
"158.4","663.984375","132","870.921875","50"
"163.52","663.984375","132","870.921875","50"
"168.64","663.984375","132","870.921875","50"
"173.74","663.984375","132","870.921875","50"
"178.84","664.390625","132","870.921875","50"
"183.98","664.390625","132","870.921875","50"
"189.1","664.37890625","131","870.921875","50"
"194.22","664.3984375","132","870.921875","50"
"199.33","664.53125","132","870.921875","50"
"204.45","664.53125","132","870.921875","50"
"209.57","664.53125","132","870.921875","50"
"214.68","664.53125","132","870.921875","50"
"219.76","664.59375","132","870.921875","50"
"224.85","664.6015625","132","870.921875","50"
"229.94","664.6015625","132","870.921875","50"
"235.05","664.66015625","132","870.921875","50"
"240.18","664.7421875","132","870.921875","50"
"245.31","664.7421875","132","870.953125","52"
"250.39","664.7421875","132","870.953125","52"
"255.48","664.78515625","132","870.953125","52"
"260.58","664.78515625","132","870.953125","52"
"265.71","664.7890625","132","870.953125","52"
"270.8","664.76171875","130","870.953125","52"
"275.88","664.77734375","131","870.953125","52"
"280.98","664.80078125","131","870.953125","52"
"286.1","664.8046875","131","870.953125","52"
"291.21","664.8203125","131","870.953125","52"
"296.3","664.828125","131","870.953125","52"
"301.42","665.1015625","133","870.953125","52"
"306.52","665.1015625","133","870.953125","52"
"311.64","665.10546875","133","870.921875","50"
"316.78","665.10546875","133","870.921875","50"
"321.87","665.10546875","133","870.921875","50"
"326.95","665.10546875","133","870.921875","50"
"332.04","665.10546875","133","870.921875","50"
"337.15","665.10546875","133","870.921875","50"
"342.22","665.10546875","133","870.921875","50"
"347.33","665.14453125","133","870.921875","50"
"352.46","665.14453125","133","870.921875","50"
"357.55","665.14453125","133","870.921875","50"
"362.66","665.19140625","133","870.921875","50"
"367.77","665.19140625","133","870.921875","50"
"372.84","665.19140625","133","870.921875","50"
"377.92","665.1796875","132","870.921875","50"
"383.03","665.1796875","132","870.921875","50"
"388.13","665.34375","132","870.921875","50"
"393.26","665.34375","132","870.921875","50"
"398.36","665.34375","132","870.921875","50"
"403.46","665.30859375","130","870.921875","50"
"408.56","665.30859375","130","870.921875","50"
"413.69","665.30859375","130","870.921875","50"
"418.78","665.30859375","130","870.921875","50"
"423.89","665.30859375","130","870.921875","50"
"429","665.30859375","130","870.921875","50"
"434.13","665.30859375","130","870.921875","50"
"439.22","665.30859375","130","870.921875","50"
"444.36","665.30859375","130","870.921875","50"
"449.46","665.30859375","130","870.921875","50"
"454.58","665.30859375","130","870.921875","50"
"459.69","665.30859375","130","870.921875","50"
"464.82","665.30859375","130","870.921875","50"
"469.92","665.30859375","130","870.921875","50"
"475.03","665.30859375","130","870.921875","50"
"480.15","665.30859375","130","870.921875","50"
"485.27","665.30859375","130","870.921875","50"
"490.37","665.30859375","130","870.921875","50"
"495.49","665.30859375","130","870.921875","50"
"500.57","665.30859375","130","870.921875","50"
"505.67","665.30859375","130","870.921875","50"
"510.74","665.30859375","130","870.921875","50"
"515.84","665.30859375","130","870.921875","50"
"520.95","665.30859375","130","870.921875","50"
"526.06","665.30859375","130","870.921875","50"
"531.18","665.30859375","130","870.921875","50"
"536.28","665.2890625","129","870.921875","50"
"541.38","665.2890625","129","870.921875","50"
"546.49","665.3046875","130","870.921875","50"
"551.58","665.3046875","130","870.921875","50"
"556.72","665.79296875","130","870.93359375","51"
"561.83","665.85546875","130","870.93359375","51"
"566.9","664.95703125","130","870.93359375","51"
"572.01","665.02734375","130","870.93359375","51"
"577.13","665.02734375","130","870.93359375","51"
"582.23","665.0390625","130","870.94140625","51"
"587.33","665.0390625","130","870.94140625","51"
"592.45","665.0390625","130","870.94140625","51"
"597.52","665.0390625","130","870.94140625","51"
"602.63","665.0703125","131","870.94140625","51"
