"seconds","playerWorkingSetMiB","playerThreads","serviceWorkingSetMiB","serviceThreads"
"0","14.09765625","4","870.93359375","50"
"5.12","624.484375","133","870.93359375","50"
"10.22","628.2890625","134","870.93359375","50"
"15.32","671.9609375","134","870.93359375","50"
"20.43","673.640625","134","870.93359375","50"
"25.54","658.30859375","134","870.93359375","50"
"30.62","658.89453125","133","870.93359375","50"
"35.74","659.2421875","133","870.93359375","50"
"40.86","659.42578125","133","870.93359375","50"
"45.96","659.77734375","133","870.93359375","50"
"51.08","659.87109375","133","870.93359375","50"
"56.23","660.2890625","133","870.93359375","50"
"61.3","660.2421875","130","870.93359375","50"
"66.43","674.796875","130","870.93359375","50"
"71.53","677.75","130","870.93359375","50"
"76.64","678.09765625","130","870.93359375","50"
"81.7","678.09765625","130","870.93359375","50"
"86.81","678.1484375","130","870.93359375","50"
"91.92","678.15234375","130","870.93359375","50"
"97.04","677.5546875","130","870.93359375","50"
"102.14","677.5546875","130","870.93359375","50"
"107.23","677.55859375","130","870.93359375","50"
"112.35","677.5859375","130","870.93359375","50"
"117.45","677.58984375","130","870.93359375","50"
"122.55","677.58984375","130","870.93359375","50"
